ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
2271,رقب,رَقَبَ,رقب,رقب,1,0,0,0,0,رقب,يرقب,ارقب,رَقَبَ,يرقب,ارقب
2272,خلق,خَلُقَ,خلق,خلق,1,1,1,0,0,خلق,يخلق,اخلق,خَلُقَ,يخلق,اخلق
2273,نقر,نَقَرَ,نقر,نقر,1,0,0,0,0,نقر,ينقر,انقر,نَقَرَ,ينقر,انقر
2274,خرج,خَرَجَ,خرج,خرج,1,1,1,1,0,خرج,يخرج,اخرج,خَرَجَ,يخرج,اخرج
2275,عتب,عَتَبَ,عتب,عتب,1,0,0,0,0,عتب,يعتب,اعتب,عَتَبَ,يعتب,اعتب
2276,رفض,رَفَضَ,رفض,رفض,1,1,1,1,0,رفض,يرفض,ارفض,رَفَضَ,يرفض,ارفض
2277,رذل,رَذُلَ,رذل,رذل,1,1,1,0,0,رذل,يرذل,ارذل,رَذُلَ,يرذل,ارذل
2278,رشق,رَشَقَ,رشق,رشق,1,0,0,0,0,رشق,يرشق,ارشق,رَشَقَ,يرشق,ارشق
2279,نكز,نَكَزَ,نكز,نكز,1,0,0,0,0,نكز,ينكز,انكز,نَكَزَ,ينكز,انكز
2280,علج,عَلَجَ,علج,علج,1,1,1,1,0,علج,يعلج,اعلج,عَلَجَ,يعلج,اعلج
2281,قطن,قَطَنَ,قطن,قطن,1,0,0,0,0,قطن,يقطن,اقطن,قَطَنَ,يقطن,اقطن
2282,رسم,رَسَمَ,رسم,رسم,1,0,0,0,0,رسم,يرسم,ارسم,رَسَمَ,يرسم,ارسم
2283,جسد,جَسَدَ,جسد,جسد,1,0,0,0,0,جسد,يجسد,اجسد,جَسَدَ,يجسد,اجسد
2284,خفض,خَفُضَ,خفض,خفض,1,1,1,0,0,خفض,يخفض,اخفض,خَفُضَ,يخفض,اخفض
2285,فحش,فَحُشَ,فحش,فحش,1,1,1,0,0,فحش,يفحش,افحش,فَحُشَ,يفحش,افحش
2286,عكر,عَكَرَ,عكر,عكر,1,1,1,1,0,عكر,يعكر,اعكر,عَكَرَ,يعكر,اعكر
2287,ملس,مَلَسَ,ملس,ملس,1,0,0,0,0,ملس,يملس,املس,مَلَسَ,يملس,املس
2288,رمز,رَمَزَ,رمز,رمز,1,0,0,0,0,رمز,يرمز,ارمز,رَمَزَ,يرمز,ارمز
2289,حرس,حَرَسَ,حرس,حرس,1,0,0,0,0,حرس,يحرس,احرس,حَرَسَ,يحرس,احرس
2290,همر,هَمَرَ,همر,همر,1,0,0,0,0,همر,يهمر,اهمر,هَمَرَ,يهمر,اهمر
2291,كدر,كَدَرَ,كدر,كدر,1,0,0,0,0,كدر,يكدر,اكدر,كَدَرَ,يكدر,اكدر
2292,سكن,سَكَنَ,سكن,سكن,1,0,0,0,0,سكن,يسكن,اسكن,سَكَنَ,يسكن,اسكن
2293,غمق,غَمُقَ,غمق,غمق,1,1,1,1,0,غمق,يغمق,اغمق,غَمُقَ,يغمق,اغمق
2294,نسل,نَسَلَ,نسل,نسل,1,1,1,1,0,نسل,ينسل,انسل,نَسَلَ,ينسل,انسل
2295,بسط,بَسُطَ,بسط,بسط,1,1,1,0,0,بسط,يبسط,ابسط,بَسُطَ,يبسط,ابسط
2296,نكل,نَكَلَ,نكل,نكل,1,0,0,0,0,نكل,ينكل,انكل,نَكَلَ,ينكل,انكل
2297,خمر,خَمَرَ,خمر,خمر,1,0,0,0,0,خمر,يخمر,اخمر,خَمَرَ,يخمر,اخمر
2298,خبر,خَبَرَ,خبر,خبر,1,0,0,0,0,خبر,يخبر,اخبر,خَبَرَ,يخبر,اخبر
2299,رصن,رَصَنَ,رصن,رصن,1,0,0,0,0,رصن,يرصن,ارصن,رَصَنَ,يرصن,ارصن
2300,دهس,دَهَسَ,دهس,دهس,1,0,0,0,0,دهس,يدهس,ادهس,دَهَسَ,يدهس,ادهس
2301,خمن,خَمَنَ,خمن,خمن,1,0,0,0,0,خمن,يخمن,اخمن,خَمَنَ,يخمن,اخمن
2302,عرج,عَرَجَ,عرج,عرج,1,1,1,1,0,عرج,يعرج,اعرج,عَرَجَ,يعرج,اعرج
2303,سرع,سَرُعَ,سرع,سرع,1,1,1,0,0,سرع,يسرع,اسرع,سَرُعَ,يسرع,اسرع
